{{0.000000,3.396222e+03,226,237,246,1.678830e+07,0.000000e+00,1.924072e+05,1.678830e+07,2.203605e+02,2.314385e+02,2.415957e+02,8.078212e-03,-8.826840e-03,9.433960e-02}
,{1.114000e+00,3.454045e+03,237,247,255,1.689152e+07,-2.721948e+07,1.924072e+05,-1.032797e+07,2.334778e+02,2.433971e+02,2.523688e+02,-8.198918e-03,-2.054526e-02,9.425078e-02}
,{2.508669e+00,1.750034e+03,262,273,276,1.694433e+07,-2.727365e+07,1.924072e+05,-1.032932e+07,2.631818e+02,2.740387e+02,2.770055e+02,-1.856495e-02,-2.251815e-02,9.424054e-02}
,{4.996989e+00,1.893871e+03,256,268,270,1.689664e+07,-2.722293e+07,1.924072e+05,-1.032629e+07,2.561181e+02,2.681435e+02,2.699446e+02,3.524342e-03,1.894325e-04,9.427975e-02}
,{7.485309e+00,6.000557e+03,256,266,270,1.685350e+07,-2.717768e+07,1.924072e+05,-1.032418e+07,2.560979e+02,2.657789e+02,2.699307e+02,-1.490509e-02,-9.712177e-03,9.422791e-02}
,{9.973629e+00,9.154179e+03,254,268,269,1.683057e+07,-2.715091e+07,1.924072e+05,-1.032034e+07,2.537048e+02,2.681108e+02,2.687600e+02,-1.167586e-02,-1.894349e-03,9.424711e-02}
,{1.246195e+01,5.761970e+03,255,268,269,1.688597e+07,-2.719981e+07,1.924072e+05,-1.031384e+07,2.548945e+02,2.681069e+02,2.687604e+02,-1.572069e-02,-1.635950e-02,9.426341e-02}
,{1.446505e+01,2.302004e+04,256,269,269,1.690365e+07,-2.721590e+07,1.924072e+05,-1.031225e+07,2.560986e+02,2.692724e+02,2.687665e+02,-1.780831e-02,-1.150636e-02,9.425912e-02}
,{1.570921e+01,1.545356e+04,256,269,269,1.688647e+07,-2.719887e+07,1.924072e+05,-1.031240e+07,2.560992e+02,2.692692e+02,2.687726e+02,-1.077791e-02,-1.289963e-02,9.424482e-02}
,{1.695337e+01,1.050592e+04,255,269,270,1.687376e+07,-2.718637e+07,1.924072e+05,-1.031261e+07,2.549107e+02,2.692709e+02,2.699505e+02,-1.704085e-02,-1.294125e-02,9.424612e-02}
,{1.819753e+01,1.511682e+04,255,269,270,1.686921e+07,-2.718176e+07,1.924072e+05,-1.031255e+07,2.549169e+02,2.692732e+02,2.699556e+02,-1.707888e-02,-1.225381e-02,9.424557e-02}
,{1.944169e+01,1.979342e+04,256,269,270,1.688544e+07,-2.719797e+07,1.924072e+05,-1.031253e+07,2.561135e+02,2.692738e+02,2.699588e+02,-9.528536e-03,-1.072929e-02,9.423189e-02}
,{2.068585e+01,2.230083e+04,255,269,270,1.689184e+07,-2.720364e+07,1.924072e+05,-1.031180e+07,2.549164e+02,2.692753e+02,2.699618e+02,-1.233021e-02,-1.329664e-02,9.425055e-02}
,{2.193001e+01,1.911254e+04,255,269,270,1.688729e+07,-2.719956e+07,1.924072e+05,-1.031227e+07,2.549166e+02,2.692750e+02,2.699562e+02,-1.241377e-02,-1.763276e-02,9.426053e-02}
,{2.317417e+01,1.625403e+04,256,269,270,1.688180e+07,-2.719407e+07,1.924072e+05,-1.031227e+07,2.561078e+02,2.692726e+02,2.699510e+02,-8.395119e-03,-8.519897e-03,9.425195e-02}
,{2.441833e+01,1.738481e+04,256,269,270,1.688488e+07,-2.719715e+07,1.924072e+05,-1.031228e+07,2.561018e+02,2.692707e+02,2.699475e+02,-1.145776e-02,-7.976045e-03,9.422757e-02}
,{2.517726e+01,2.355923e+04,256,269,270,1.689867e+07,-2.721173e+07,1.924072e+05,-1.031306e+07,2.560998e+02,2.692679e+02,2.699426e+02,-8.099843e-03,-1.045676e-02,9.425421e-02}
,{2.581179e+01,1.935556e+04,256,269,270,1.689084e+07,-2.720295e+07,1.924072e+05,-1.031211e+07,2.560976e+02,2.692663e+02,2.699394e+02,-9.368572e-03,-3.270463e-03,9.425569e-02}
,{2.649607e+01,2.415885e+04,256,269,270,1.690514e+07,-2.721801e+07,1.924072e+05,-1.031287e+07,2.560951e+02,2.692608e+02,2.699356e+02,-6.478304e-03,-8.287928e-03,9.426200e-02}
,{2.711815e+01,3.292978e+04,256,269,270,1.690469e+07,-2.721733e+07,1.924072e+05,-1.031264e+07,2.560923e+02,2.692573e+02,2.699333e+02,-1.119294e-02,-7.439920e-03,9.424623e-02}
,{2.774023e+01,2.227949e+04,256,269,270,1.690463e+07,-2.721722e+07,1.924072e+05,-1.031259e+07,2.560925e+02,2.692555e+02,2.699338e+02,-1.236197e-02,-1.133860e-02,9.426304e-02}
,{2.836231e+01,2.713698e+04,256,269,270,1.689543e+07,-2.720869e+07,1.924072e+05,-1.031326e+07,2.560911e+02,2.692569e+02,2.699360e+02,-1.326562e-02,-1.257684e-02,9.424580e-02}
,{2.924567e+01,2.902460e+04,256,269,270,1.689505e+07,-2.720799e+07,1.924072e+05,-1.031294e+07,2.560878e+02,2.692553e+02,2.699366e+02,-7.682105e-03,-1.535088e-02,9.422580e-02}
,{2.986775e+01,2.677643e+04,256,269,270,1.689193e+07,-2.720468e+07,1.924072e+05,-1.031275e+07,2.560859e+02,2.692559e+02,2.699353e+02,-9.867600e-03,-1.224067e-02,9.424357e-02}
,{3.048983e+01,2.844598e+04,256,269,270,1.689230e+07,-2.720465e+07,1.924072e+05,-1.031234e+07,2.560842e+02,2.692544e+02,2.699351e+02,-1.166854e-02,-1.069108e-02,9.423888e-02}
