{{0.000000,0.000000e+00,0,0,0,1.703552e-01,-4.617436e-01,3.345738e+00,-2.913884e-01}
,{2.618995e+02,6.460987e-04,126,128,137,1.321337e-01,-4.314432e-01,3.345738e+00,-2.993095e-01}
,{5.656382e+02,7.625409e-04,130,124,121,1.323954e-01,-4.312888e-01,3.345738e+00,-2.988934e-01}
,{8.581739e+02,6.336134e-04,132,128,122,1.403381e-01,-4.388923e-01,3.345738e+00,-2.985542e-01}
,{1.163787e+03,5.269648e-04,124,145,145,1.431280e-01,-4.413792e-01,3.345738e+00,-2.982512e-01}
,{1.465213e+03,1.407744e-03,129,127,129,1.533888e-01,-4.512386e-01,3.345738e+00,-2.978498e-01}
,{1.770343e+03,6.612655e-04,125,130,124,1.395292e-01,-4.369238e-01,3.345738e+00,-2.973946e-01}
,{2.089602e+03,9.269569e-04,131,130,121,1.428453e-01,-4.397659e-01,3.345738e+00,-2.969206e-01}
,{2.294053e+03,6.793111e-04,135,123,138,1.307726e-01,-4.273049e-01,3.345738e+00,-2.965323e-01}
,{2.582889e+03,7.830775e-04,128,133,118,1.491017e-01,-4.448286e-01,3.345738e+00,-2.957269e-01}
,{2.887898e+03,1.029773e-03,128,129,136,1.404839e-01,-4.353034e-01,3.345738e+00,-2.948194e-01}
,{3.130766e+03,9.718773e-04,123,129,125,1.518315e-01,-4.457733e-01,3.345738e+00,-2.939418e-01}
,{3.353513e+03,8.622017e-04,134,131,128,1.506683e-01,-4.439876e-01,3.345738e+00,-2.933193e-01}
,{3.627627e+03,1.165826e-03,124,128,127,1.353808e-01,-4.285353e-01,3.345738e+00,-2.931545e-01}
,{3.901740e+03,6.532571e-04,131,129,129,1.437326e-01,-4.367348e-01,3.345738e+00,-2.930022e-01}
,{4.175854e+03,7.803691e-04,125,124,129,1.468811e-01,-4.397507e-01,3.345738e+00,-2.928696e-01}
,{4.415395e+03,7.812229e-04,135,129,133,1.466373e-01,-4.394026e-01,3.345738e+00,-2.927654e-01}
,{4.648450e+03,1.136089e-03,124,130,124,1.445503e-01,-4.368618e-01,3.345738e+00,-2.923115e-01}
,{4.893537e+03,1.473138e-03,129,129,123,1.368594e-01,-4.288113e-01,3.345738e+00,-2.919518e-01}
,{5.184725e+03,8.882720e-04,130,126,124,1.529260e-01,-4.445161e-01,3.345738e+00,-2.915902e-01}
,{5.458183e+03,1.431213e-03,130,125,127,1.415748e-01,-4.326615e-01,3.345738e+00,-2.910866e-01}
,{5.628987e+03,5.730141e-04,128,129,125,1.439602e-01,-4.349685e-01,3.345738e+00,-2.910083e-01}
,{5.877275e+03,1.489653e-03,129,129,127,1.555668e-01,-4.459906e-01,3.345738e+00,-2.904238e-01}
,{6.130840e+03,1.382498e-03,130,130,126,1.452389e-01,-4.350821e-01,3.345738e+00,-2.898432e-01}
,{6.379843e+03,1.504038e-03,128,131,128,1.476945e-01,-4.373648e-01,3.345738e+00,-2.896703e-01}
,{6.663682e+03,8.128044e-04,122,132,131,1.547818e-01,-4.442874e-01,3.345738e+00,-2.895056e-01}
,{6.947522e+03,7.552785e-04,129,129,122,1.501297e-01,-4.395149e-01,3.345738e+00,-2.893852e-01}
,{7.173827e+03,1.193494e-03,128,129,123,1.495099e-01,-4.387473e-01,3.345738e+00,-2.892374e-01}
,{7.493294e+03,1.268388e-03,130,125,126,1.528046e-01,-4.415061e-01,3.345738e+00,-2.887016e-01}
,{7.641526e+03,1.279431e-03,132,131,129,1.492969e-01,-4.379829e-01,3.345738e+00,-2.886860e-01}
,{7.823799e+03,1.892344e-03,128,126,129,1.508240e-01,-4.388814e-01,3.345738e+00,-2.880574e-01}
,{8.092641e+03,8.635636e-04,128,129,124,1.490592e-01,-4.369383e-01,3.345738e+00,-2.878792e-01}
,{8.361484e+03,1.459209e-03,133,124,127,1.569380e-01,-4.445966e-01,3.345738e+00,-2.876587e-01}
,{8.564773e+03,1.276490e-03,130,132,126,1.446583e-01,-4.321379e-01,3.345738e+00,-2.874796e-01}
,{8.854040e+03,9.919571e-04,123,124,125,1.592043e-01,-4.462100e-01,3.345738e+00,-2.870057e-01}
,{9.018075e+03,1.706726e-03,126,128,129,1.585375e-01,-4.449124e-01,3.345738e+00,-2.863749e-01}
,{9.094870e+03,1.623380e-03,127,123,127,1.559093e-01,-4.422845e-01,3.345738e+00,-2.863751e-01}
,{9.181018e+03,1.347814e-03,125,130,132,1.515944e-01,-4.379661e-01,3.345738e+00,-2.863718e-01}
,{9.492295e+03,1.266245e-03,125,133,129,1.486122e-01,-4.344998e-01,3.345738e+00,-2.858876e-01}
,{9.713440e+03,9.676229e-04,131,130,130,1.643963e-01,-4.500027e-01,3.345738e+00,-2.856065e-01}
,{9.974839e+03,8.641370e-04,118,129,127,1.480582e-01,-4.332802e-01,3.345738e+00,-2.852221e-01}
,
